Hub Name,Number of Organizations,Number of People,Number of Events,CB Rank (Hub),Description,Last Updated,Hub Type,Parent Organization,Disverity Spotlight (US Only),Industries,Industry Groups,Location,Location Type,Closed Year,Founded Year,Funding Status,Investment Stage,Investor Type,Number of Employees,Estimated Revenue Range,Number of Investors,Number of Lead Investors,Average Founded Date,Number of Non-Profit Companies,Number of For-Profit Companies,Percentage Non-Profit,Percentage Public Organizations,Number of IPOs,Average IPO Date,Percentage Delisted,Top Funding Types,Number of Funding Rounds,Median Number of Funding Rounds,Total Funding Amount,Median Total Funding Amount,Total Equity Funding Amount,Average Last Funding Date,Total Amount Raised in IPO,Median Amount Raised in IPO,Total IPO Valuation,Median IPO Valuation,Percentage Acquired,Number of Acquired Organizations,Number of Acquisitions,Total Acquired Price,Median Acquired Price,Top Investor Types,Number of Portfolio Companies,Number of Investments,Median Number of Investments,Number of Lead Investors.1,Median Number of Lead Investors,Number of Exits,Median Number of Exits,Number of Funds,Total Fund Raised,Number of Founders,Number of Founder Alumni,Number of Alumni,Average Rank,Average Trend Score (7D),Average Trend Score (30D),Average Trend Score (90D)
United States Companies With More Than $1M in Revenue (Top 10K),"9,990",985,"6,228",1,"The top 10,000 companies and startups in United States with more than $1m in revenue, by Crunchbase rank.",2022-09-15 10:13:00,"Active, Company, Location, Revenue Range",,,,,"United States, North America",Country,,,,,,,$1M to $10M,"83,537","23,925",2007-11-10,43,"9,674",0%,16%,"1,782",2011-10-02,1%,"Venture - Series Unknown,&nbsp;Series B,&nbsp;Series A,&nbsp;Post-IPO Equity,&nbsp;Series C","45,886",4,2082447955344.0,45524052.0,1319646826323.0,2007-11-10,365726240329.0,136023142.0,2295023637189.0,850843302.0,19%,"2,120","17,272",1160783736672.0,500000000.0,"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Micro VC,&nbsp;Investment Bank","53,532","76,504",3,"22,046",2,"14,218",2,"1,489",1614996184787.0,"21,272",631,"1,229","14,393.31",1.02,1.02,1.58
Companies With More Than $1M in Revenue (Top 10K),"9,789",976,"10,000",2,"The top 10,000 companies and startups with more than $1m in revenue, by Crunchbase rank.",2022-09-15 09:34:00,"Active, Company, Revenue Range",,,,,,,,,,,,,$1M to $10M,"87,426","26,850",2006-08-16,36,"9,496",0%,21%,"2,401",2012-02-25,1%,"Venture - Series Unknown,&nbsp;Series B,&nbsp;Series A,&nbsp;Post-IPO Equity,&nbsp;Series C","46,680",4,3107158980864.0,68102407.0,1987215829894.0,2006-08-16,482379234826.0,150000000.0,3177217369611.0,1064746367.0,18%,"2,005","21,075",1347289940145.0,577821428.0,"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Investment Bank,&nbsp;Micro VC,&nbsp;Corporate Venture Capital","56,082","77,163",3,"23,875",2,"13,327",2,"1,542",1713130783513.0,"21,290",630,"1,229","8,957.35",1.23,1.23,1.91
Companies With More Than 10 Employees (Top 10K),"9,826",992,"10,000",3,"The top 10,000 companies and startups with more than 10 employees, by Crunchbase rank.",2022-09-15 10:21:00,"Active, Company, Employee Range",,,,,,,,,,,,,,"96,246","28,455",2009-05-24,31,"9,404",0%,16%,"1,789",2012-04-25,1%,"Series B,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series C,&nbsp;Post-IPO Equity","45,218",4,3017953813842.0,65064008.0,1982983324421.0,2009-05-24,414091036581.0,175876821.0,2950223418895.0,1208750000.0,11%,"1,253","17,959",1063535912173.0,675981540.0,"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Investment Bank,&nbsp;Accelerator,&nbsp;Micro VC","53,190","72,716",3,"23,151",3,"11,232",2,"1,473",1481115899233.0,"22,102","1,297","2,593","5,418.2",1.69,1.69,2.65
United States Companies With More Than 10 Employees (Top 10K),"9,634",965,"6,697",4,"The top 10,000 companies and startups in United States with more than 10 employees, by Crunchbase rank.",2022-09-15 10:08:00,"Active, Company, Employee Range, Location",,,,,"United States, North America",Country,,,,,,,,"89,669","24,473",2009-09-02,23,"9,246",0%,15%,"1,638",2011-10-21,1%,"Series A,&nbsp;Series B,&nbsp;Venture - Series Unknown,&nbsp;Series C,&nbsp;Post-IPO Equity","43,393",4,2166727791711.0,51350188.0,1382091589831.0,2009-09-02,363958137151.0,150300000.0,2279813622754.0,890127437.0,14%,"1,589","15,920",1068760233105.0,650000000.0,"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Investment Bank,&nbsp;Accelerator,&nbsp;Micro VC","43,123","61,053",3,"18,534",2,"10,903",2,"1,250",1502130076219.0,"20,972","1,293","2,587","9,338.72",1.21,1.21,1.98
United States Companies With Less Than $1B in Revenue (Top 10K),"9,946","1,003","6,476",5,"The top 10,000 companies and startups in United States with less than $1b in revenue, by Crunchbase rank.",2022-09-15 09:20:00,"Active, Company, Location, Revenue Range",,,,,"United States, North America",Country,,,,,,,$500M to $1B,"86,257","24,328",2010-02-22,31,"9,639",0%,14%,"1,564",2014-02-24,1%,"Venture - Series Unknown,&nbsp;Series A,&nbsp;Series B,&nbsp;Series C,&nbsp;Post-IPO Equity","46,484",4,1411854689686.0,43122801.0,1069926010251.0,2010-02-22,232986768394.0,124600000.0,1521587752117.0,713311000.0,18%,"2,037","9,862",811230686702.0,436500000.0,"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Micro VC,&nbsp;Corporate Venture Capital","46,376","66,506",2,"17,705",2,"11,033",2,"1,250",802605052270.0,"21,461","1,859","3,717","13,523.08",1.02,1.02,1.63
United States Companies With Less Than $500M in Revenue (Top 10K),"9,732",988,"6,346",6,"The top 10,000 companies and startups in United States with less than $500m in revenue, by Crunchbase rank.",2022-09-15 09:43:00,"Active, Company, Location, Revenue Range",,,,,"United States, North America",Country,,,,,,,$100M to $500M,"84,910","23,899",2010-08-29,30,"9,438",0%,13%,"1,426",2014-09-05,1%,"Venture - Series Unknown,&nbsp;Series A,&nbsp;Series B,&nbsp;Series C,&nbsp;Seed","45,604",4,1266590105662.0,41942687.0,991512180747.0,2010-08-29,192391338521.0,119500000.0,1246389188140.0,669071041.0,18%,"1,944","8,253",716385878168.0,400928571.0,"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Micro VC,&nbsp;Incubator","45,158","65,102",2,"17,181",2,"10,677",2,"1,149",594154177246.0,"21,087","1,858","3,713","13,593.29",1.02,1.02,1.63
Private United States Companies (Top 10K),"9,791",997,"7,514",7,"The top 10,000 private companies and startups in United States, by Crunchbase rank.",2022-09-15 10:56:00,"Active, Company, Location",,,,,"United States, North America",Country,,,,,,,,"90,482","23,599",2013-03-13,31,"9,150",0%,,0,,,"Series A,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Seed,&nbsp;Series C","40,280",4,998156889630.0,33365672.0,833405952289.0,2013-03-13,,,,,13%,"1,381","6,112",335020323605.0,413833333.0,"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Micro VC,&nbsp;Corporate Venture Capital","43,612","62,505",4,"17,411",5,"9,309",4,"1,161",978291341242.0,"21,470","2,910","6,126","10,276.65",1.32,1.32,2.18
United States Companies (Top 10K),"9,933",989,"7,776",8,"The top 10,000 companies and startups in United States, by Crunchbase rank.",2022-09-15 10:05:00,"Active, Company, Location",,,,,"United States, North America",Country,,,,,,,,"93,382","24,760",2010-06-27,26,"9,365",0%,14%,"1,571",2012-01-20,1%,"Series A,&nbsp;Series B,&nbsp;Venture - Series Unknown,&nbsp;Seed,&nbsp;Series C","43,543",4,2137311654462.0,47061602.0,1363674624428.0,2010-06-27,358731053206.0,151140624.0,2244900196962.0,887316000.0,13%,"1,470","14,873",999865334105.0,707000000.0,"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Investment Bank","46,226","65,145",3,"19,175",2,"11,066",2,"1,321",1502636479446.0,"21,489","2,929","6,155","8,670.5",1.37,1.37,2.25
United States Companies With Fewer Than 1000 Employees (Top 10K),"9,850",980,"7,070",9,"The top 10,000 companies and startups in United States with fewer than 1000 employees, by Crunchbase rank.",2022-09-15 12:58:00,"Active, Company, Employee Range, Location",,,,,"United States, North America",Country,,,,,,,,"91,810","24,321",2013-03-30,16,"9,345",0%,10%,"1,067",2015-10-24,0%,"Series A,&nbsp;Series B,&nbsp;Venture - Series Unknown,&nbsp;Seed,&nbsp;Series C","43,060",4,1080923910783.0,39467500.0,876898334327.0,2013-03-30,137662792544.0,120000000.0,768986552322.0,615305116.0,12%,"1,334","6,329",452550246136.0,437500000.0,"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Venture Debt","35,637","52,424",3,"14,886",3,"8,521",3,"1,139",1044058419332.0,"21,606",8,15,"9,831.09",1.28,1.28,2.15
Companies With Fewer Than 1000 Employees (Top 10K),"9,245",974,"10,000",10,"The top 10,000 companies and startups with fewer than 1000 employees, by Crunchbase rank.",2022-09-15 12:09:00,"Active, Company, Employee Range",,,,,,,,,,,,,,"92,544","26,224",2013-10-04,29,"8,754",0%,9%,910,2016-08-31,0%,"Series A,&nbsp;Series B,&nbsp;Venture - Series Unknown,&nbsp;Series C,&nbsp;Seed","41,558",4,1185398595850.0,49566521.0,963031240672.0,2013-10-04,132411111913.0,132284462.0,813422922995.0,802021666.0,9%,956,"6,500",361098555356.0,400000000.0,"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Venture Debt","39,924","56,948",3,"16,396",3,"7,179",2,"1,252",921131866596.0,"21,119",10,17,"5,650.33",1.82,1.82,2.91
